SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000442,臺北市政府公共運輸處,紫雲里-S-金湖路,TAIFO,內湖區,114臺北市內湖區金湖路200號對面候車亭,121.6000107,25.078045
TPEE000443,臺北市政府公共運輸處,棕櫚泉社區-W-萬芳路,TAIFO,文山區,116臺北市文山區萬芳路103號對面候車亭,121.562507,24.997552
TPEE000444,臺北市政府公共運輸處,南港公園-W-東新街,TAIFO,南港區,115臺北市南港區東新街170巷臨1號旁候車亭,121.592658,25.045867
TPEE000445,臺北市政府公共運輸處,指南路口-N-木新路二段,TAIFO,文山區,116臺北市文山區木新路二段8號對面候車亭,121.5707213,24.987228
TPEE000446,臺北市政府公共運輸處,萬芳派出所-E-萬美街一段,TAIFO,文山區,116臺北市文山區萬美街一段89號旁候車亭,121.566207,25.001729
TPEE000447,臺北市政府公共運輸處,萬芳派出所-W-萬美街一段,TAIFO,文山區,116臺北市文山區萬美街一段89號對面候車亭,121.566122,25.0017713
TPEE000448,臺北市政府公共運輸處,木柵-E-木柵路三段,TAIFO,文山區,116臺北市文山區木柵路三段80號旁候車亭,121.566566,24.988489
TPEE000449,臺北市政府公共運輸處,萬美社區-E-萬美街二段,TAIFO,文山區,116臺北市文山區萬美街二段11號候車亭,121.5630518,25.0034534
TPEE000450,臺北市政府公共運輸處,萬美社區-W-萬美街二段,TAIFO,文山區,116臺北市文山區萬美街二段11號對面候車亭,121.5631947,25.0033933
TPEE000451,臺北市政府公共運輸處,萬壽橋頭(新光)-S1-新光路一段,TAIFO,文山區,116臺北市文山區新光路一段189號對面候車亭,121.5737391,24.9934723
TPEE000452,臺北市政府公共運輸處,萬寧山莊-E1-萬寧街,TAIFO,文山區,116臺北市文山區萬寧街161號前方候車亭,121.5704011,25.0041842
TPEE000453,臺北市政府公共運輸處,萬寧街口-E-萬寧街,TAIFO,文山區,116臺北市文山區萬寧街141號對面候車亭,121.5708054,25.0030845
TPEE000455,臺北市政府公共運輸處,南寮(忠三街口)-S-康樂街,TAIFO,內湖區,114臺北市內湖區康樂街210號旁候車亭,121.623527,25.079078
TPEE000457,臺北市政府公共運輸處,美麗華-E1-北安路,TAIFO,中山區,104臺北市中山區北安路與敬業四路口西南側候車亭,121.5581826,25.0845246
TPEE000459,臺北市政府公共運輸處,捷運象山站-E-信義路五段,TAIFO,信義區,110臺北市信義區信義路五段59號候車亭,121.5700619,25.0329886
TPEE000460,臺北市政府公共運輸處,文山行政中心-N-木柵路三段,TAIFO,文山區,116臺北市文山區木柵路三段191號前方候車亭,121.570083,24.99015
TPEE000461,臺北市政府公共運輸處,文山行政中心-S-木柵路三段,TAIFO,文山區,116臺北市文山區木柵路三段220號前方候車亭,121.569808,24.989748
